Chiral indice n,Chiral indice m,Initial atomic coordinate u,Initial atomic coordinate v,Initial atomic coordinate w,Calculated atomic coordinates u',Calculated atomic coordinates v',Calculated atomic coordinates w'
2,1,0.679005,0.701318,0.017033,0.721039,0.730232,0.017014
2,1,0.717298,0.642129,0.231319,0.738414,0.65675,0.232369
2,1,0.489336,0.303751,0.088462,0.477676,0.263221,0.088712
2,1,0.413957,0.632996,0.040843,0.408823,0.657897,0.039796
2,1,0.334292,0.543401,0.15989,0.303349,0.558807,0.157373
2,1,0.510664,0.696249,0.255128,0.496977,0.725608,0.25597
2,1,0.413957,0.632996,0.374176,0.390878,0.657645,0.374735
2,1,0.712552,0.55479,0.112271,0.750056,0.561494,0.114944
2,1,0.320995,0.298682,0.1837,0.281301,0.261433,0.182779
2,1,0.394742,0.279367,0.302747,0.35086,0.2335,0.302196
2,1,0.282702,0.357871,0.397985,0.229138,0.328729,0.398581
2,1,0.320995,0.298682,0.517033,0.278752,0.269615,0.51733
2,1,0.605258,0.720633,0.469414,0.613415,0.760009,0.469452
2,1,0.510664,0.696249,0.588462,0.521991,0.736991,0.588946
2,1,0.679005,0.701318,0.6837,0.718811,0.738577,0.68244
2,1,0.605258,0.720633,0.802747,0.649178,0.766301,0.80193
2,1,0.665708,0.456599,0.326557,0.680389,0.444562,0.327502
2,1,0.712552,0.55479,0.445605,0.737216,0.552056,0.443517
2,1,0.586043,0.367004,0.540843,0.591153,0.342069,0.540172
2,1,0.665708,0.456599,0.65989,0.697242,0.441516,0.657521
2,1,0.287448,0.44521,0.612271,0.249571,0.438057,0.614939
2,1,0.282702,0.357871,0.731319,0.262916,0.343512,0.732213
2,1,0.334292,0.543401,0.826557,0.320053,0.555754,0.827503
2,1,0.287448,0.44521,0.945605,0.262054,0.44817,0.943402
2,1,0.717298,0.642129,0.897985,0.770521,0.670869,0.898389
2,1,0.489336,0.303751,0.755128,0.50356,0.27443,0.75629
2,1,0.586043,0.367004,0.874176,0.609,0.342123,0.875088
2,1,0.394742,0.279367,0.969414,0.385666,0.240071,0.969157
3,1,0.591598,0.760361,0.05909,0.59912,0.779052,0.058651
3,1,0.24301,0.424391,0.020628,0.222068,0.414703,0.020882
3,1,0.348135,0.611237,0.084731,0.337437,0.618899,0.085676
3,1,0.300826,0.550669,0.174474,0.287789,0.556575,0.174486
3,1,0.732854,0.724426,0.123192,0.754953,0.742501,0.123074
3,1,0.696244,0.751243,0.212936,0.716721,0.774579,0.211887
3,1,0.764136,0.633981,0.277038,0.787393,0.647285,0.277407
3,1,0.755932,0.684567,0.366782,0.775712,0.700545,0.366505
3,1,0.699174,0.449331,0.007807,0.72086,0.444281,0.00759
3,1,0.734908,0.512843,0.097551,0.762097,0.516121,0.096337
3,1,0.303756,0.248757,0.046269,0.293584,0.229065,0.047346
3,1,0.351772,0.236542,0.136013,0.349972,0.22059,0.136027
3,1,0.244068,0.315433,0.200115,0.232016,0.304156,0.201163
3,1,0.267146,0.275574,0.289859,0.259193,0.263096,0.289735
3,1,0.465969,0.709835,0.238577,0.467543,0.732466,0.238691
3,1,0.40427,0.665341,0.32832,0.398427,0.685067,0.327159
3,1,0.591598,0.760361,0.392423,0.599318,0.782562,0.392936
3,1,0.529645,0.742134,0.482166,0.529179,0.763965,0.48165
3,1,0.59573,0.334659,0.161654,0.613188,0.322504,0.16211
3,1,0.651865,0.388763,0.251397,0.674862,0.383646,0.250882
